Time [s]	Temp. [ C]	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	Time_hs	Time
0	23.2	8713	50869	24384	15087	10735	9764	8589	56842	25239	15355	11012	10157	8984	51130	25422	15418	11503	9631	8905	70000	70000	20203	27292	11164	21555	15741	11277	9205	9348	9111	70000	70000	26727	53699	10710	23772	15776	10625	10053	9373	11270	70000	26936	39321	17957	11991	28905	18505	13087	9411	10529	0	0
300	29	7934	50938	23691	14956	10015	9251	8213	59078	25651	15140	10617	9560	8201	55461	25464	15993	11303	9212	8175	70000	70000	23041	34644	10194	31680	17702	11769	8959	9353	8274	70000	70000	29599	58062	10391	29978	20301	11516	10141	9428	12030	70000	27578	42323	20690	12605	35764	22336	13767	9352	10539	0.08333333333333333	0.0833333333333333
600	29.1	7751	58690	25196	15474	10191	9027	7600	70000	26888	15723	10435	9396	7700	63769	27166	18408	11333	9009	7754	70000	70000	22434	34732	9972	45065	21622	13241	9722	9584	7622	70000	70000	34413	61117	9899	37256	24623	12269	10524	9698	10010	70000	28434	46187	21548	19118	45602	28640	16012	9422	10652	0.16666666666666666	0.166666666666667
900.1	29.3	7699	70000	27886	15885	10488	8636	7498	70000	28699	16625	10463	9297	7523	70000	29331	19567	11584	9232	7431	70000	70000	23579	35248	9554	58865	26628	14385	10602	9841	7421	70000	70000	39391	58849	9738	47881	28536	13441	10991	10085	7910	70000	29967	52379	22101	23529	59834	35547	18629	9999	10896	0.2500277777777778	0.250027777777778
1200.1	29	7550	70000	30027	16821	10913	8708	7394	70000	31108	17580	10459	9307	7382	70000	31921	19176	11790	9120	7407	70000	70000	24820	36919	9503	70000	30514	16303	11759	10093	7207	70000	70000	41180	58311	9714	57228	33203	14886	11809	10888	7302	70000	30368	54248	21557	26679	70000	43205	20527	10322	11437	0.3333611111111111	0.333361111111111
1500.1	29.1	7466	70000	32040	17787	10942	8724	7376	70000	33304	18564	10908	9586	7370	70000	33971	19356	12422	9185	7397	70000	70000	26186	37888	9636	70000	37893	18513	13521	10579	7352	70000	70000	43240	57053	9741	70000	36903	16804	12543	11846	7402	70000	32105	57597	21675	28750	70000	47578	22824	10627	11869	0.4166944444444444	0.416694444444444
1800.1	29.1	7420	70000	34612	18507	11394	8809	7261	70000	34506	19783	10928	9456	7258	70000	36278	19520	12758	9157	7327	70000	70000	27930	37488	9686	70000	43593	20360	14715	11364	7350	70000	70000	45504	57774	9591	70000	41047	18870	13738	12148	7385	70000	33534	57950	21669	28285	70000	50237	24365	11598	12060	0.5000277777777777	0.500027777777778
2100.1	29.2	7158	70000	36346	19377	11658	8745	7107	70000	36427	20490	11404	9633	7415	70000	39003	20192	12856	9397	7314	70000	70000	29289	38309	9647	70000	48327	21321	15345	14982	7198	70000	70000	45727	55045	9731	70000	43928	20384	15006	12546	7187	70000	35155	60717	21199	26860	70000	56787	26199	11512	12667	0.5833611111111111	0.583361111111111
2400.1	28.9	7388	70000	37910	19695	12194	8933	7286	70000	38125	20872	11448	9982	7345	70000	41011	20739	13522	9478	7177	70000	70000	31656	37835	10040	70000	53169	22044	15588	18526	7056	70000	70000	47603	53946	9788	70000	46723	22154	15737	12896	7134	70000	37544	58899	21523	27809	70000	59879	27334	12086	12660	0.6666944444444444	0.666694444444444
2700.1	29	7327	70000	38805	20557	12696	8812	7104	70000	39468	22428	11983	9949	7166	70000	42285	20879	13755	9395	7211	70000	70000	33424	37915	10537	70000	57883	23792	16420	15262	7091	70000	70000	48149	53929	9948	70000	48904	24027	16904	13072	7171	70000	39581	60957	22223	27882	70000	63544	28525	12433	12780	0.7500277777777777	0.750027777777778
