Time [s]	Temp. [ C]	B1	B2	B3	B4	B5	B8	B9	C1	C2	C3	C4	C5	C8	C9	D1	D2	D3	D4	D5	D8	D9	E1	E2	E3	E4	E5	E8	E9	F1	F2	F3	F4	F5	F8	F9	G1	G2	G3	G4	G5	G8	Time_hs	Time
    0	   26	 9294	13984	11699	31602	17539	47047	19218	 8851	13655	10727	28104	27496	43668	30434	 8937	14820	11174	31838	23028	49491	21490	 8771	10150	 9593	14210	11136	22621	11272	 8650	 9222	 9750	14022	11504	13102	11741	 8595	10267	 9700	13095	10935	21171	0	0
  300.0	   29.1	 8345.0	14047.0	10487.0	31760.0	21255.0	50629.0	18958.0	 7992.0	13760.0	10156.0	28461.0	30150.0	41370.0	36120.0	 8212.0	18559.0	10853.0	32570.0	25903.0	41017.0	19953.0	 7826.0	 9314.0	 9568.0	16117.0	10374.0	23312.0	 9766.0	 8192.0	 9248.0	 9087.0	13407.0	10978.0	12548.0	16723.0	 7698.0	 9608.0	 9138.0	12990.0	 9970.0	21884.0	0.08333333333333333	0.0833333333333333
  600.0	   29.2	 7807.0	13106.0	 9810.0	36120.0	26057.0	55837.0	18962.0	 7677.0	12944.0	 9647.0	32103.0	33982.0	41702.0	37245.0	 7968.0	22108.0	10270.0	36905.0	28949.0	35844.0	18745.0	 7624.0	 8862.0	 9175.0	19192.0	10659.0	22918.0	 9307.0	 7672.0	 8629.0	 8617.0	14183.0	11051.0	12328.0	25852.0	 7478.0	 9032.0	 8594.0	13919.0	10093.0	21032.0	0.16666666666666666	0.166666666666667
  900.0	   29.2	 7522.0	12550.0	 9472.0	42201.0	31514.0	60973.0	18713.0	 7541.0	12778.0	 9501.0	36474.0	38243.0	41340.0	34867.0	 7722.0	22599.0	10004.0	42910.0	32433.0	34197.0	18041.0	 7373.0	 8931.0	 8818.0	21402.0	11852.0	23882.0	 8980.0	 7572.0	 8303.0	 8426.0	15335.0	11212.0	12540.0	18862.0	 7329.0	 9073.0	 8086.0	15005.0	10126.0	20516.0	0.25	0.25
1200	29.1	7452	12032	9259	49638	37652	OVER	19013	7512	12669	8995	41845	42997	41287	34724	7469	23167	9511	48963	36251	33912	18171	7286	8459	8456	23858	12680	23864	9172	7262	8338	8535	16396	11585	12587	13683	7414	8840	8071	16059	10176	20468	0.3333333333333333	0.333333333333333
1500	29	7422	12898	9120	56240	42189	OVER	19593	7217	12198	9133	47034	47044	41531	33775	7088	22309	9447	55091	39824	35269	18202	7125	8229	8420	25649	13691	23835	8802	7111	8069	8048	17434	11946	12976	24241	7086	8728	7896	16372	10563	20774	0.4166666666666667	0.416666666666667
1800	29.3	7357	14090	8957	OVER	46400	OVER	20302	7263	12267	9186	53307	50844	42637	34014	7264	21442	9308	61061	42497	36594	18621	7125	8286	8366	27341	13950	24044	8824	7130	8203	7955	18198	12524	13517	25038	7034	8588	8001	17487	10847	20369	0.5	0.5
2100	29.2	7287	15388	9034	OVER	50186	OVER	20886	7172	12867	9012	58896	54123	44059	33967	7193	20514	9225	OVER	44996	38043	18899	7136	8149	8017	28844	14106	23700	8570	7142	7942	7753	19426	13104	13968	23231	7031	8611	7856	18620	11341	20424	0.5833333333333334	0.583333333333333
2400	29.3	7276	16350	9023	OVER	52493	OVER	22386	7257	13287	8916	63714	57094	45803	33698	7177	20180	9268	OVER	48267	40110	19088	6927	8035	8244	30432	14624	23972	8769	7054	8022	7753	20060	13501	14124	24530	7193	8700	7928	19201	11607	20380	0.6666666666666666	0.666666666666667
2700	29.2	7355	16343	9163	OVER	56138	OVER	23412	7026	13831	8721	OVER	59431	46863	34139	7083	20171	9137	OVER	50004	40626	19738	6945	8098	7972	31285	14869	23932	8587	6966	7996	7775	20577	13744	14424	24474	7132	8507	7789	19426	11977	20667	0.75	0.75
3000	29.2	7221	16543	8959	OVER	58729	OVER	24017	7186	13892	8763	OVER	60991	48843	34762	7232	19577	8918	OVER	52077	42444	19977	6993	8045	7762	32646	15241	24020	8697	6925	8041	7587	22316	13738	14419	22266	6876	8714	7749	19987	12097	20959	0.8333333333333334	0.833333333333333
3300	29.2	7181	16727	9076	OVER	60642	OVER	25468	7171	13480	8753	OVER	64055	49787	35120	7104	19431	9131	OVER	55299	44888	20616	6886	8048	7998	33161	15649	24708	8668	7098	7917	7756	22395	13452	14620	26538	7047	8584	7621	20861	12177	21063	0.9166666666666666	0.916666666666667
3600	29.3	7012	16684	8928	OVER	63494	OVER	26458	7124	13865	8684	OVER	OVER	51466	35553	7078	19635	8893	OVER	56792	48023	21271	7065	8057	7815	34392	15861	24217	9004	7006	7865	7491	23723	13873	14717	25314	7148	8646	7528	21268	12581	21565	1	1
3900	29.2	7216	16507	8998	OVER	OVER	OVER	26077	7234	14088	8734	OVER	OVER	53515	35202	7216	19991	9074	OVER	57523	51076	21483	6943	7907	7875	35346	16465	24609	9282	6823	7951	7565	24098	14155	15168	19933	7164	8646	7508	21681	12371	22121	1.0833333333333333	1.08333333333333
4200	29.4	7166	16351	8913	OVER	OVER	OVER	27056	7135	14222	8847	OVER	OVER	54965	36031	7057	19699	8835	OVER	60376	52383	21982	7063	7839	7764	36056	17013	25606	9520	7106	7973	7713	25040	14284	15567	25817	7166	8777	7573	22466	12674	22074	1.1666666666666667	1.16666666666667
4500	29.5	7078	16648	9087	OVER	OVER	OVER	27751	6965	14225	8538	OVER	OVER	57756	36255	7057	20000	9412	OVER	62680	54742	22529	6980	7864	7709	36284	17617	25462	10343	6962	7837	7574	25568	14485	15937	24619	7198	8823	7636	23022	12848	22217	1.25	1.25
4800	29.1	7131	16172	9067	OVER	OVER	OVER	28046	7064	14068	8898	OVER	OVER	59340	36407	6920	20387	9003	OVER	63626	55413	22424	7067	7926	7859	37546	17045	26266	10736	7097	7872	7702	25941	14262	15972	22348	7269	8663	7609	23824	13334	22066	1.3333333333333333	1.33333333333333
5100	29.3	7179	16602	9080	OVER	OVER	OVER	29569	7170	14179	8723	OVER	OVER	62278	37087	7077	20072	9234	OVER	64053	56409	22381	6860	7870	7919	38066	17868	26527	11113	7100	7742	7623	26008	14842	16163	26407	7089	8766	7555	24634	13276	22424	1.4166666666666667	1.41666666666667
5400	29.2	7177	16188	9097	OVER	OVER	OVER	30416	7118	14318	8765	OVER	OVER	OVER	36964	7183	19662	9069	OVER	OVER	55494	23093	6910	7837	7776	38361	18204	26816	11106	6861	7782	7480	26775	15146	16169	23560	7284	8661	7568	24648	13224	22432	1.5	1.5
5700	29.3	7069	16005	9027	OVER	OVER	OVER	30824	7069	14184	8802	OVER	OVER	OVER	37803	6948	19752	8933	OVER	OVER	56761	23341	6751	8137	7817	38984	18218	27112	11395	6859	7956	7695	27140	15357	16815	18990	7180	8657	7508	24943	13406	22442	1.5833333333333333	1.58333333333333
6000	29.1	7182	16344	9002	OVER	OVER	OVER	30716	6989	14331	8728	OVER	OVER	OVER	38221	7030	19921	8890	OVER	OVER	58556	23460	7128	7681	7930	39928	18364	27759	11511	6971	7894	7436	27938	15445	16698	18190	7361	8586	7692	25182	13701	22764	1.6666666666666667	1.66666666666667
6300	29.2	7125	16631	9198	OVER	OVER	OVER	31796	7050	14318	8909	OVER	OVER	OVER	37793	7291	20039	9131	OVER	OVER	58034	23424	6958	7767	7762	40539	18439	27820	11793	7043	7829	7437	28697	15580	16812	21481	6969	8714	7522	26007	13740	22871	1.75	1.75
6600	29.5	7276	15867	9088	OVER	OVER	OVER	31341	7118	14433	8657	OVER	OVER	OVER	38984	7024	19960	8852	OVER	OVER	59734	24281	6820	7696	7712	41127	19010	28424	11867	6881	8005	7690	29368	15659	16957	23748	7052	8634	7605	25931	13827	22978	1.8333333333333333	1.83333333333333
6900	29.4	7232	15688	8986	OVER	OVER	OVER	31835	7116	14215	8684	OVER	OVER	OVER	38313	7060	20083	9125	OVER	OVER	60208	24400	6851	7850	7678	41672	19321	28792	11849	6929	8106	7529	29754	15648	17350	22886	7132	8678	7507	26689	13773	23358	1.9166666666666667	1.91666666666667
7200	29.4	7093	15866	9014	OVER	OVER	OVER	32364	7105	14343	8731	OVER	OVER	OVER	38671	7094	20080	9167	OVER	OVER	60138	24842	6893	7786	7799	42471	19464	28449	12005	6872	7735	7503	30316	15618	17712	24834	7201	8612	7429	27104	13999	23256	2	2
7500	29.3	7087	15748	9160	OVER	OVER	OVER	32569	7011	14212	9002	OVER	OVER	OVER	38384	7181	20193	8968	OVER	OVER	60291	24660	6702	7796	7773	42437	19223	29048	11935	6975	7737	7547	30820	15824	17945	25413	7210	8711	7514	27500	14102	23386	2.0833333333333335	2.08333333333333
7800	29.1	7198	16022	9075	OVER	OVER	OVER	32950	7107	14262	8802	OVER	OVER	OVER	40359	7074	19794	9142	OVER	OVER	60936	24436	7133	7604	7716	43198	19498	28492	12182	7016	7971	7493	31330	16199	17812	24952	7012	8759	7466	27518	14009	23609	2.1666666666666665	2.16666666666667
8100	29.3	7113	16320	9023	OVER	OVER	OVER	32990	7159	14048	8737	OVER	OVER	OVER	39657	7069	20272	8988	OVER	OVER	62053	25543	6735	7822	7540	43336	19152	28558	12307	6956	7958	7610	31695	16359	18003	25845	6969	8661	7437	27959	14005	23324	2.25	2.25
8400	29.3	7072	16102	9066	OVER	OVER	OVER	32850	7116	14218	8664	OVER	OVER	OVER	39745	7001	19919	8825	OVER	OVER	62538	24994	6877	7815	7687	43420	19940	29614	11958	7000	7827	7551	32111	16356	18309	24889	7140	8579	7542	27776	14372	23075	2.3333333333333335	2.33333333333333
8700	29.1	7124	16098	9039	OVER	OVER	OVER	33297	7096	14302	8659	OVER	OVER	OVER	39744	6923	19930	9076	OVER	OVER	62812	25548	6827	8051	7736	44374	19694	29099	12340	6915	7794	7515	32109	16222	18756	23614	7166	8536	7550	28246	14247	23653	2.4166666666666665	2.41666666666667
9000	29.3	7282	16312	8962	OVER	OVER	OVER	33683	7143	14605	8424	OVER	OVER	OVER	40256	7067	19835	8963	OVER	OVER	62714	25703	6898	7850	7652	44612	19819	29051	12082	6936	7791	7543	32895	16306	18378	23689	7246	8471	7596	28871	14504	23467	2.5	2.5
9300	29.3	7039	15902	9166	OVER	OVER	OVER	33251	6975	14699	8597	OVER	OVER	OVER	40571	7055	19752	8998	OVER	OVER	64253	25895	6816	7860	7598	45160	19656	28473	12249	6894	7750	7460	33008	16445	18588	24698	7065	8446	7556	28710	14474	23151	2.5833333333333335	2.58333333333333
9600	29.2	7158	15844	8764	OVER	OVER	OVER	33198	6830	14176	8437	OVER	OVER	OVER	40191	7049	19845	8962	OVER	OVER	OVER	25906	6797	7974	7509	44513	19843	29678	12183	6923	7653	7684	33351	16190	18869	19341	7182	8355	7561	28645	14442	23462	2.6666666666666665	2.66666666666667
9900	29.3	7163	16054	8911	OVER	OVER	OVER	32740	6989	14259	8571	OVER	OVER	OVER	40603	7151	19336	8889	OVER	OVER	OVER	26898	6903	7762	7534	44768	20295	29894	12421	6990	7739	7448	33879	16660	18568	21274	7052	8326	7513	28779	14663	23666	2.75	2.75
10200	29.2	6935	15908	8752	OVER	OVER	OVER	33780	7044	14172	8474	OVER	OVER	OVER	40634	6978	19947	8706	OVER	OVER	OVER	26475	6749	7808	7613	45917	20454	29190	12260	6944	7688	7413	34436	16667	19448	26875	6962	8508	7269	29202	14494	23608	2.8333333333333335	2.83333333333333
10500	29.3	7166	15876	8901	OVER	OVER	OVER	33444	6969	14338	8615	OVER	OVER	OVER	41497	6970	19721	8955	OVER	OVER	OVER	26919	6795	7841	7615	45562	19958	29048	12263	6796	7674	7393	34430	16463	19088	27272	7061	8481	7530	29405	14917	23719	2.9166666666666665	2.91666666666667
10800	29.2	6899	15894	8594	OVER	OVER	OVER	33458	7039	14219	8405	OVER	OVER	OVER	40676	7178	19625	9009	OVER	OVER	OVER	27534	6927	7806	7643	46238	20476	29139	12117	6840	7759	7317	33508	16664	19451	27251	7000	8375	7324	29407	14767	24050	3	3
11100	29.4	7051	15706	8788	OVER	OVER	OVER	33527	6935	14000	8481	OVER	OVER	OVER	41229	7104	19040	8721	OVER	OVER	OVER	27044	6718	7805	7578	45519	19811	29438	12092	7003	7792	7422	34466	16097	18875	27049	7122	8446	7348	29471	14920	23724	3.0833333333333335	3.08333333333333
11400	29.3	7281	16025	8774	OVER	OVER	OVER	34113	7083	13857	8478	OVER	OVER	OVER	40609	7154	19223	8752	OVER	OVER	OVER	27704	6719	7785	7657	45334	20492	29380	12201	6854	7722	7420	35083	16550	19064	26687	7000	8510	7301	29786	14756	23702	3.1666666666666665	3.16666666666667
11700.1	29.2	7105	16101	8850	OVER	OVER	OVER	33945	6943	13500	8455	OVER	OVER	OVER	41156	6982	19581	8669	OVER	OVER	OVER	27353	6747	7722	7579	45424	20045	29718	12312	6984	7713	7464	35601	16568	19181	27734	6860	8482	7235	29701	14965	23412	3.250027777777778	3.25002777777778
12000.1	29.1	7012	15945	8756	OVER	OVER	OVER	34257	7164	13786	8595	OVER	OVER	OVER	41714	7094	19341	8969	OVER	OVER	OVER	27982	6776	7757	7252	46001	20592	29667	12257	6897	7610	7425	35513	16312	19516	25951	7106	8452	7399	29903	14948	23184	3.333361111111111	3.33336111111111
12300.1	29.4	6959	15808	8684	OVER	OVER	OVER	34617	7076	13599	8450	OVER	OVER	OVER	41204	7130	19385	8803	OVER	OVER	OVER	27962	6846	7851	7554	46223	20373	29683	12401	6841	7730	7367	35780	16222	19508	26950	7025	8463	7484	29948	14967	23774	3.4166944444444445	3.41669444444444
12600.1	29	6959	15903	8642	OVER	OVER	OVER	34641	6988	13800	8489	OVER	OVER	OVER	41328	7008	19620	8725	OVER	OVER	OVER	28383	6753	7912	7484	46668	20841	29931	12400	6762	7722	7466	36173	16524	19342	27207	6890	8466	7368	30509	15127	23734	3.500027777777778	3.50002777777778
12900.1	29.3	6949	15828	8698	OVER	OVER	OVER	34346	6899	13990	8282	OVER	OVER	OVER	42131	7140	19474	8675	OVER	OVER	OVER	28068	6695	7738	7525	46885	20082	30421	12321	6942	7448	7188	36424	16705	19541	27221	7131	8369	7267	30257	15111	23497	3.583361111111111	3.58336111111111
13200.1	29.2	6944	16059	8676	OVER	OVER	OVER	34068	7002	14011	8340	OVER	OVER	OVER	42242	7067	19523	8588	OVER	OVER	OVER	28491	6696	7823	7513	47113	20427	30016	12769	6977	7575	7444	36732	16930	19255	26679	6964	8484	7272	30932	15219	23647	3.6666944444444445	3.66669444444444
