Time [s]	Temp. [ C]	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	E1	E7	E8	E9	E10	E11	F1	F7	F8	F9	F10	F11	G1	G7	G8	G9	G10	G11	Time_hs	Time
    0.0	   29.3	 9481.0	11674.0	10794.0	10287.0	 9576.0	 9402.0	 9703.0	 9042.0	 8929.0	 9790.0	 9291.0	 9253.0	11940.0	10721.0	10039.0	10174.0	 9622.0	 9863.0	 9422.0	 9011.0	 9086.0	 9053.0	 9521.0	12414.0	10365.0	10207.0	 9719.0	 9309.0	 9521.0	 9346.0	 9670.0	 8690.0	 9064.0	 9122.0	23242.0	11835.0	10602.0	12595.0	 9236.0	 9317.0	25585.0	 9905.0	40430.0	16332.0	 9106.0	 8873.0	46803.0	21095.0	10565.0	19385.0	 8807.0	0	0
  300.0	   29.1	 8361.0	10477.0	 9681.0	 9327.0	 8804.0	 8498.0	10006.0	 8308.0	 8143.0	 9015.0	 8098.0	 8408.0	11173.0	10044.0	 9338.0	 9325.0	 8912.0	 9544.0	 9312.0	 8262.0	 8339.0	 8302.0	 8418.0	12037.0	 9595.0	 9266.0	 8899.0	 8548.0	 8727.0	 8425.0	 9629.0	 8285.0	 8087.0	 8301.0	35704.0	16302.0	11278.0	17114.0	 8438.0	 8311.0	35686.0	10517.0	49456.0	19319.0	 9042.0	 7988.0	60707.0	30722.0	12056.0	21273.0	 8192.0	0.08333333333333333	0.0833333333333333
600	29	7901	10039	9226	9044	8452	7941	9417	8409	7616	8883	7514	7925	10934	9463	8988	8671	8167	9082	9253	7739	7953	7739	8085	11898	9155	9109	8529	8301	8974	7969	9871	7820	7723	7927	53383	28258	13315	21913	7979	8046	46596	14105	57088	23016	10337	7746	70000	41793	15606	23758	8598	0.16666666666666666	0.166666666666667
900	29.1	7502	9944	9025	9336	8153	7892	9031	8018	7510	8501	7476	7852	10494	9120	8637	8198	8003	8792	9138	7705	7621	7558	7838	11584	8848	8641	8117	7969	8910	7760	10214	7456	7554	7808	70000	37111	15807	25042	7882	7836	55980	21123	63904	27783	9585	7605	70000	50677	20049	25324	10157	0.25	0.25
1200	29.2	7591	10189	9069	9362	7942	7636	8851	7673	7427	8391	7381	7713	10554	8905	8361	8120	7796	8898	8839	7593	7369	7545	7849	11733	8769	8388	8027	7688	8719	7619	10037	7284	7221	7537	70000	45208	17284	26899	7601	7701	64578	31545	70000	32492	9088	7267	70000	59227	24152	26747	11246	0.3333333333333333	0.333333333333333
1500	29.2	7464	10175	9345	9266	7768	7605	8931	7488	7309	8247	7468	7419	10375	8642	8244	7933	7661	8575	8643	7406	7359	7505	7850	12062	8694	8090	7980	7518	8428	7675	10188	7150	7332	7482	70000	50866	18453	29947	7552	7596	70000	42922	70000	36058	9092	7399	70000	63154	27624	28026	12181	0.4166666666666667	0.416666666666667
1800	29.3	7359	10215	9935	9277	7907	7488	8716	7616	7151	8367	7227	7436	10433	8744	8012	8024	7493	8734	8704	7343	7325	7500	7702	12317	8512	8186	7785	7578	8659	7395	10116	7130	7331	7377	70000	55385	20562	35782	7740	7390	70000	53947	70000	40162	9009	7267	70000	64691	29192	28566	12531	0.5	0.5
2100	29.4	7444	10596	11155	9174	7919	7330	8852	7591	7342	8122	7161	7578	10705	8951	8257	7953	7523	8540	8593	7110	7229	7378	7490	12481	8631	8221	7824	7441	8463	7682	10024	7175	7450	7458	70000	59996	22059	40116	7632	7413	70000	62422	70000	45160	9148	7405	70000	70000	31573	28785	13164	0.5833333333333334	0.583333333333333
2400	29.1	7353	10836	12105	9360	7728	7250	8640	7482	7357	7905	7284	7557	10930	8762	8270	7842	7419	8613	8568	7450	7258	7337	7500	12312	8388	8200	7681	7400	8555	7325	9743	7070	7241	7359	70000	62459	23373	43447	7605	7573	70000	70000	70000	49228	9061	7460	70000	70000	34517	29426	13513	0.6666666666666666	0.666666666666667
2700	29.4	7338	10823	12964	9269	7807	7307	8382	7395	7048	8027	7321	7545	10971	8820	8327	7915	7425	8449	8552	7133	7165	7415	7588	12782	8475	8116	7682	7497	8713	7524	10115	7119	7279	7285	70000	70000	25230	46440	7599	7492	70000	70000	70000	55054	9274	7220	70000	70000	36949	30129	13573	0.75	0.75
