Time [s]	Temp. [ C]	E1	E3	E4	F1	F3	F4	G1	G3	G4	Time_hs	Time
    0.0	   29.2	 9400.0	13984.0	11029.0	 8739.0	13655.0	12066.0	 9130.0	14820.0	13950.0	0	0
  300.0	   29.1	 8028.0	14047.0	11406.0	 8170.0	13760.0	12357.0	 8139.0	18559.0	14521.0	0.08333333333333333	0.0833333333333333
  600.0	   29.3	 7815.0	13106.0	11868.0	 7805.0	12944.0	12679.0	 8016.0	22108.0	14757.0	0.16666666666666666	0.166666666666667
  900	   29	 7539	12550	11871	 7571	12778	12895	 7700	22599	14647	0.25	0.25
 1200	   29	 7362	12032	12223	 7424	12669	12974	 7559	23167	15371	0.3333333333333333	0.333333333333333
 1500	   29	 7332	12898	12423	 7445	12198	13373	 7341	22309	15433	0.4166666666666667	0.416666666666667
 1800.0	   29.2	 7346.0	14090.0	12639.0	 7300.0	12267.0	13453.0	 7262.0	21442.0	15490.0	0.5	0.5
 2100.0	   29.1	 7297.0	15388.0	12609.0	 7037.0	12867.0	13617.0	 7220.0	20514.0	15831.0	0.5833333333333334	0.583333333333333
 2400.0	   29.1	 7232.0	16350.0	12980.0	 7158.0	13287.0	13975.0	 7224.0	20180.0	16159.0	0.6666666666666666	0.666666666666667
 2700.0	   29.1	 7265.0	16343.0	13290.0	 7255.0	13831.0	14149.0	 7276.0	20171.0	16590.0	0.75	0.75
 3000.0	   29.3	 7093.0	16543.0	13514.0	 7107.0	13892.0	14301.0	 7260.0	19577.0	16865.0	0.8333333333333334	0.833333333333333
 3300.0	   29.2	 7051.0	16727.0	13443.0	 7035.0	13480.0	14564.0	 7245.0	19431.0	16874.0	0.9166666666666666	0.916666666666667
 3600.0	   29.2	 7073.0	16684.0	13967.0	 7220.0	13865.0	15011.0	 7151.0	19635.0	17036.0	1	1
 3900.0	   29.1	 7128.0	16507.0	13973.0	 7163.0	14088.0	14915.0	 7255.0	19991.0	17216.0	1.0833333333333333	1.08333333333333
 4200.0	   29.2	 7099.0	16351.0	14328.0	 7033.0	14222.0	15026.0	 7286.0	19699.0	17356.0	1.1666666666666667	1.16666666666667
 4500.0	   29.2	 7093.0	16648.0	14521.0	 7182.0	14225.0	15635.0	 7272.0	20000.0	17535.0	1.25	1.25
 4800.0	   29.1	 7257.0	16172.0	14900.0	 6981.0	14068.0	15342.0	 7143.0	20387.0	17698.0	1.3333333333333333	1.33333333333333
 5100.0	   29.2	 7137.0	16602.0	15063.0	 7019.0	14179.0	15608.0	 7084.0	20072.0	17686.0	1.4166666666666667	1.41666666666667
 5400.0	   29.3	 7204.0	16188.0	14747.0	 7175.0	14318.0	15959.0	 7328.0	19662.0	17759.0	1.5	1.5
 5700.0	   29.2	 7259.0	16005.0	15181.0	 7039.0	14184.0	16045.0	 7083.0	19752.0	18206.0	1.5833333333333333	1.58333333333333
 6000.0	   29.1	 7106.0	16344.0	15492.0	 7120.0	14331.0	16247.0	 7126.0	19921.0	18059.0	1.6666666666666667	1.66666666666667
 6300.0	   29.3	 7087.0	16631.0	15506.0	 7045.0	14318.0	16023.0	 7162.0	20039.0	18252.0	1.75	1.75
 6600.1	   29.2	 7019.0	15867.0	15704.0	 7021.0	14433.0	16503.0	 7005.0	19960.0	18427.0	1.8333611111111112	1.83336111111111
 6900.1	   29.1	 7144.0	15688.0	15808.0	 6948.0	14215.0	16241.0	 7146.0	20083.0	18530.0	1.9166944444444447	1.91669444444444
 7200.1	   29.3	 7046.0	15866.0	15838.0	 6899.0	14343.0	16847.0	 7178.0	20080.0	18612.0	2.000027777777778	2.00002777777778
 7500.1	   29.3	 7097.0	15748.0	15896.0	 7164.0	14212.0	17216.0	 7036.0	20193.0	18468.0	2.0833611111111114	2.08336111111111
 7800.1	   29.1	 6947.0	16022.0	16167.0	 7034.0	14262.0	16799.0	 7321.0	19794.0	18675.0	2.1666944444444445	2.16669444444444
